"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.240740740740741,0.276346604215457,0.274231678486998,0.306413301662708,0.272076372315036,0.292565947242206,0.280871670702179,0.276283618581907,0.272058823529412,0.259259259259259
"2",0.771428571428571,0.828571428571429,0.842857142857143,0.826086956521739,0.884057971014493,0.898550724637681,0.884057971014493,0.911764705882353,0.941176470588235,0.867647058823529
"3",0.666666666666667,0.666666666666667,0.611111111111111,0.8125,0.875,0.75,0.8,0.733333333333333,0.785714285714286,0.923076923076923
"4",0.888888888888889,0.920634920634921,0.920634920634921,0.873015873015873,0.904761904761905,0.873015873015873,0.873015873015873,0.873015873015873,0.934426229508197,0.916666666666667
"5",0.724137931034483,0.714285714285714,0.714285714285714,0.75,0.714285714285714,0.678571428571429,0.62962962962963,0.740740740740741,0.666666666666667,0.740740740740741
"6",0.657142857142857,0.771428571428571,0.714285714285714,0.742857142857143,0.542857142857143,0.794117647058823,0.676470588235294,0.647058823529412,0.705882352941177,0.764705882352941
"7",0.908045977011494,0.925287356321839,0.936781609195402,0.925287356321839,0.942196531791908,0.953488372093023,0.965116279069767,0.941860465116279,0.936046511627907,0.941520467836257
"8",0.625,0.5625,0.59375,0.709677419354839,0.6,0.678571428571429,0.464285714285714,0.535714285714286,0.642857142857143,0.535714285714286
"9",0.787878787878788,0.863636363636364,0.878787878787879,0.924242424242424,0.909090909090909,0.878787878787879,0.861538461538462,0.703125,0.8125,0.875
"10",0.789473684210526,1,0.833333333333333,0.944444444444444,0.944444444444444,0.916666666666667,0.944444444444444,0.916666666666667,0.911764705882353,0.941176470588235
"11",0.75,0.74,0.69,0.72,0.76,0.77,0.8,0.72,0.78,0.68
"12",0.739130434782609,0.782608695652174,0.695652173913043,0.636363636363636,0.5,0.681818181818182,0.571428571428571,0.6,0.65,0.722222222222222
"13",0.5,0.352941176470588,0.529411764705882,0.470588235294118,0.5,0.6,0.666666666666667,0.6,0.666666666666667,0.666666666666667
"14",0.925925925925926,0.851851851851852,0.814814814814815,0.851851851851852,0.814814814814815,0.814814814814815,0.888888888888889,0.814814814814815,0.925925925925926,0.666666666666667
"15",0.888888888888889,0.972222222222222,0.916666666666667,0.916666666666667,0.916666666666667,0.828571428571429,0.794117647058823,0.882352941176471,0.794117647058823,0.911764705882353
"16",0.851063829787234,0.578947368421053,0.684210526315789,0.540540540540541,0.621621621621622,0.648648648648649,0.6,0.645161290322581,0.666666666666667,0.724137931034483
"17",0.690300344657804,0.702487562189055,0.708520179372197,0.705,0.721221221221221,0.70806209313971,0.717369477911647,0.714716223003516,0.707243460764588,0.711983887210473
"18",0.5,0.8125,0.733333333333333,0.8,0.857142857142857,0.857142857142857,0.928571428571429,0.857142857142857,0.714285714285714,0.714285714285714
"19",1,1,0.998230088495575,1,1,1,1,1,1,1
"20",0.945326278659612,0.96643109540636,0.973404255319149,0.955673758865248,0.966192170818505,0.962633451957295,0.962566844919786,0.971428571428571,0.960502692998205,0.969479353680431
"21",0.818885448916409,0.814241486068111,0.831269349845201,0.838509316770186,0.829192546583851,0.841614906832298,0.849144634525661,0.827102803738318,0.8421875,0.84375
"22",0.945564516129032,0.910284463894967,0.923245614035088,0.916666666666667,0.925438596491228,0.942982456140351,0.918681318681319,0.918681318681319,0.934065934065934,0.92967032967033
"23",0.9125,0.90625,0.890625,0.9,0.915625,0.896551724137931,0.924764890282132,0.915094339622642,0.908517350157729,0.924290220820189
"24",0.979381443298969,0.979381443298969,0.979166666666667,0.989583333333333,0.989583333333333,0.979166666666667,0.989473684210526,0.968421052631579,0.978947368421053,1
"25",0.813953488372093,0.825581395348837,0.823529411764706,0.788235294117647,0.870588235294118,0.835294117647059,0.788235294117647,0.75,0.759036144578313,0.792682926829268
"26",0.717171717171717,0.717171717171717,0.747474747474748,0.757575757575758,0.777777777777778,0.646464646464647,0.727272727272727,0.686868686868687,0.666666666666667,0.656565656565657
"27",0.947368421052632,1,0.888888888888889,0.944444444444444,0.944444444444444,0.944444444444444,1,0.888888888888889,0.941176470588235,1
"28",0.571428571428571,0.578947368421053,0.602649006622517,0.553333333333333,0.628378378378378,0.520547945205479,0.650684931506849,0.650684931506849,0.616438356164384,0.551724137931034
"29",0.923076923076923,1,1,0.909090909090909,0.9,1,1,1,1,0.875
